Seed_Region,Team,Rd2,Sweet16,Elite8,Final4,Final,Champ
1E,Duke,99.1,85.3,69.0,52.7,33.3,21.0
1W,Arizona,99.6,85.7,68.8,49.7,32.1,18.5
1MW,Michigan,99.5,88.2,70.9,50.2,30.4,18.4
1S,Florida,99.8,77.9,53.2,30.1,15.8,7.5
2S,Houston,96.9,73.5,43.6,25.1,12.9,6.1
2MW,Iowa St.,98.4,75.3,49.4,22.9,11.2,5.4
3S,Illinois,97.0,75.5,40.8,22.3,10.7,4.6
2W,Purdue,97.6,74.9,46.7,20.8,10.3,4.3
2E,Connecticut,95.9,66.1,35.5,13.1,4.9,1.9
3E,Michigan St.,91.6,57.5,32.9,12.0,4.6,1.8
3W,Gonzaga,96.3,63.4,31.6,11.7,4.9,1.7
5S,Vanderbilt,82.3,46.3,19.0,8.0,3.0,1.0
3MW,Virginia,93.1,53.1,23.2,7.8,2.7,1.0
4W,Arkansas,90.7,56.2,15.9,7.2,2.7,0.8
4S,Nebraska,92.7,48.7,18.6,7.2,2.5,0.8
5E,St. John's,79.6,46.5,12.7,6.1,2.1,0.7
6MW,Tennessee,73.1,37.6,15.8,5.1,1.8,0.6
4MW,Alabama,84.9,49.1,12.7,5.5,1.8,0.6
6E,Louisville,72.3,33.9,17.2,5.3,1.7,0.5
5MW,Texas Tech,78.2,42.0,11.2,4.7,1.6,0.5
4E,Kansas,86.6,45.5,11.4,5.2,1.6,0.5
5W,Wisconsin,83.3,39.3,9.2,3.6,1.2,0.3
6W,BYU,60.0,23.8,9.3,2.5,0.8,0.2
7S,Saint Mary's,60.4,17.9,6.6,2.2,0.7,0.2
7E,UCLA,65.8,25.1,10.0,2.5,0.7,0.2
8E,Ohio St.,61.0,10.3,4.7,1.9,0.5,0.1
9S,Iowa,57.0,14.0,5.8,1.8,0.5,0.1
7W,Miami FL,62.7,17.5,6.6,1.6,0.4,0.08
7MW,Kentucky,55.5,14.6,6.0,1.3,0.3,0.08
6S,North Carolina,58.9,15.7,4.7,1.4,0.4,0.07
9W,Utah St.,52.3,7.5,3.1,1.0,0.3,0.06
8W,Villanova,47.7,6.8,2.7,0.8,0.2,0.05
8MW,Georgia,56.0,7.2,2.9,0.9,0.2,0.03
8S,Clemson,43.0,8.1,2.8,0.7,0.2,0.03
10MW,Santa Clara,44.5,10.0,3.5,0.7,0.2,0.03
11W,N.C. State,20.8,6.6,2.0,0.4,0.1,0.02
10S,Texas A&M,39.6,8.2,2.3,0.6,0.1,0.02
9MW,Saint Louis,44.0,4.5,1.6,0.4,0.09,0.02
11W,Texas,19.2,5.9,1.8,0.4,0.09,0.02
11S,VCU,41.1,8.4,1.9,0.4,0.09,0.01
9E,TCU,39.0,4.3,1.5,0.5,0.08,0.01
11MW,SMU,23.2,7.9,2.0,0.4,0.08,0.01
11E,South Florida,27.7,7.4,2.2,0.3,0.05,0.006
10W,Missouri,37.3,7.3,1.9,0.3,0.05,0.003
12S,McNeese,17.7,4.4,0.6,0.08,0.01,0.002
12MW,Akron,21.8,5.4,0.4,0.07,0.009,0.002
10E,UCF,34.2,8.4,2.1,0.3,0.03,0.001
12E,Northern Iowa,20.4,5.8,0.6,0.1,0.01,0.001
13MW,Hofstra,15.1,3.5,0.2,0.04,0.007,0.0004
13E,Cal Baptist,13.4,2.1,0.1,0.02,0.001,0.0004
12W,High Point,16.7,2.8,0.2,0.02,0.001,0.0004
13W,Hawaii,9.3,1.7,0.07,0.006,0.001,0.0004
11MW,Miami OH,3.6,0.6,0.06,0.007,0.0004,0.0004
14E,North Dakota St.,8.4,1.2,0.1,0.006,0.0004,0.0004
14MW,Wright St.,6.9,0.7,0.04,0.005,0.0004,0.0004
13S,Troy,7.3,0.7,0.04,0.003,0.0004,0.0004
14S,Penn,3.0,0.4,0.02,0.001,0.0004,0.0004
15S,Idaho,3.1,0.4,0.02,0.001,0.0004,0.0004
16E,Siena,0.9,0.09,0.006,0.001,0.0004,0.0004
16W,LIU,0.4,0.03,0.002,0.001,0.0004,0.0004
15E,Furman,4.1,0.4,0.02,0.0004,0.0004,0.0004
14W,Kennesaw St.,3.7,0.3,0.01,0.0004,0.0004,0.0004
15W,Queens,2.4,0.3,0.01,0.0004,0.0004,0.0004
15MW,Tennessee St.,1.6,0.1,0.009,0.0004,0.0004,0.0004
16MW,UMBC,0.3,0.02,0.002,0.0004,0.0004,0.0004
16MW,Howard,0.2,0.02,0.001,0.0004,0.0004,0.0004
16S,Lehigh,0.1,0.005,0.0004,0.0004,0.0004,0.0004
16S,Prairie View A&M,0.08,0.003,0.0004,0.0004,0.0004,0.0004
